Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
amazon.com,quarantine,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,4,51.77.245.91,True,False,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,v=spf1 include:spf1.amazon.com include:spf2.amazon.com include:amazonses.com -all,fail,None,
fastly.net,quarantine,"mailto:mailauth-reports@fastly.com,mailto:dmarc_agg@vali.email",None,3,51.77.245.91,True,False,"v=DMARC1; p=quarantine; rua=mailto:mailauth-reports@fastly.com,mailto:dmarc_agg@vali.email;",v=spf1 include:_spf.google.com -all,fail,None,
nic.ru,quarantine,mailto:dmarc-rua@nic.ru,mailto:dmarc-ruf@nic.ru,10,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; aspf=r; adkim=r; pct=100; rua=mailto:dmarc-rua@nic.ru; ruf=mailto:dmarc-ruf@nic.ru; ri=86400; fo=1,v=spf1 include:_spf.nic.ru include:spf.sendsay.ru -all,fail,None,
qq.com,quarantine,mailto:mailauth-reports@qq.com,None,8,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:mailauth-reports@qq.com,v=spf1 include:spf.mail.qq.com -all,fail,None,
baidu.com,quarantine,mailto:baidu-spammail@baidu.com,mailto:baidu-spammail@baidu.com,4,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:baidu-spammail@baidu.com; ruf=mailto:baidu-spammail@baidu.com,v=spf1 include:spf1.baidu.com include:spf2.baidu.com include:spf3.baidu.com include:spf4.baidu.com -all,fail,None,
a2z.com,quarantine,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,5,51.77.245.91,True,False,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,v=spf1 include:amazon.com -all,fail,None,
adriver.ru,quarantine,None,None,2,51.77.245.91,True,False,v=DMARC1; p=quarantine; adkim=s; aspf=s,v=spf1 mx include:spf.unisender.com -all,fail,None,
xiaomi.com,quarantine,mailto:postmaster@xiaomi.com,mailto:postmaster@xiaomi.com,2,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:postmaster@xiaomi.com; ruf=mailto:postmaster@xiaomi.com,v=spf1 include:spf_bj.mxmail.xiaomi.com include:spf_hk.mxmail.xiaomi.com  -all,fail,None,
tumblr.com,quarantine,mailto:0bqp2jnw@ag.dmarcian.com,mailto:0bqp2jnw@fr.dmarcian.com,8,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:0bqp2jnw@ag.dmarcian.com; ruf=mailto:0bqp2jnw@fr.dmarcian.com;,v=spf1 include:_spf.google.com include:_spf.automattic.com include:sendgrid.net include:mail.zendesk.com include:21055259.spf05.hubspotemail.net -all,fail,None,
reg.ru,quarantine,mailto:dmarc@reg.ru,None,5,51.77.245.91,True,False,v=DMARC1;p=quarantine;pct=100;sp=quarantine;rua=mailto:dmarc@reg.ru,v=spf1 ip4:31.177.64.180 ip4:31.177.89.50 ip4:31.177.81.128 ip4:31.177.71.128 ip4:194.85.61.244 ip4:194.85.61.245 ip4:87.242.73.97 ip4:151.248.124.12 ip4:31.31.204.0/24 ip4:194.58.116.0/24 ip4:31.31.205.0/24 ip4:89.208.17.22 ip4:151.248.124.12 ip4:95.213.135.163 ip4:89.108.89.3 ip4:89.104.90.7 ip4:89.104.90.14 ip4:89.104.90.15 ip4:89.104.90.151 ip4:31.177.88.90 ip4:31.177.89.90 ip4:31.177.76.82 ip6:2a00:f940:0:8000::2 ip4:31.177.64.188 ip4:31.177.89.48 ip4:212.24.38.36 ip4:212.24.38.38 ip4:194.58.116.105 include:__spf_opensrs.reg.ru include:__spf_publicdomainregistry.reg.ru include:spf.sendsay.ru include:_spf.amocrmmail.com include:_spf.myorderbox.com -all,fail,None,
