Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
gstatic.com,none,mailto:mailauth-reports@google.com,None,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 ?all,neutral,None,
googlevideo.com,none,mailto:mailauth-reports@google.com,None,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 ?all,neutral,None,
googleusercontent.com,none,mailto:mailauth-reports@google.com,None,3,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 include:_spf.google.com ?all,neutral,None,
doubleclick.net,none,mailto:mailauth-reports@google.com,None,1,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 mx ?all,neutral,None,
googlesyndication.com,none,mailto:mailauth-reports@google.com,None,3,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 include:_spf.google.com ?all,neutral,None,
googledomains.com,none,mailto:mailauth-reports@google.com,None,3,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 include:_spf.google.com ?all,neutral,None,
adtrafficquality.google,none,mailto:mailauth-reports@google.com,None,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 ?all,neutral,None,
alibabadns.com,none,mailto:dmarc_alibaba@service.alibaba.com,mailto:dmarc_alibaba@service.alibaba.com,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:dmarc_alibaba@service.alibaba.com; ruf=mailto:dmarc_alibaba@service.alibaba.com,,neutral,None,
notamedia.ru,,None,None,3,51.77.245.91,True,False,,v=spf1 a include:_spf.yandex.net,neutral,None,
opendns.com,,None,None,7,51.77.245.91,True,True,,v=spf1 ptr include:_nets.opendns.com include:mail.zendesk.com include:amazonses.com include:_netblocks.google.com include:_netblocks2.google.com include:_netblocks3.google.com ip4:173.37.147.246 ip4:173.37.147.247 ip4:72.163.7.179 ip4:72.163.7.180 ip4:192.28.150.255 ?all,neutral,None,
cornell.edu,none,"mailto:rua-reports@cornell.edu,mailto:dmarc_rua@emaildefense.proofpoint.com","mailto:ruf-reports@cornell.edu,mailto:dmarc_ruf@emaildefense.proofpoint.com",5,51.77.245.91,True,False,"v=DMARC1; p=none; rua=mailto:rua-reports@cornell.edu,mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:ruf-reports@cornell.edu,mailto:dmarc_ruf@emaildefense.proofpoint.com",v=spf1 ip4:128.253.150.144/30 ip4:128.253.150.158 ip4:128.253.150.176 ip4:128.253.150.177 include:_spf.google.com include:spf.protection.outlook.com include:_spf.qualtrics.com ?all,neutral,None,
g.page,none,mailto:mailauth-reports@google.com,None,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 ?all,neutral,None,
cdnvideo.ru,none,mailto:dmarc_rua@cdnvideo.com,None,3,51.77.245.91,True,False,v=DMARC1;p=none;rua=mailto:dmarc_rua@cdnvideo.com,v=spf1 include:_spf.google.com ip4:151.236.121.24 ip4:151.236.87.27 ip4:151.236.121.42 ip4:91.231.236.44 ip4:151.236.87.19 ip4:151.236.121.77 ip4:78.159.251.22 ip4:78.159.253.27 ip4:78.159.253.34 ?all,neutral,None,
name-services.com,none,None,None,3,51.77.245.91,True,False,v=DMARC1; p=none;,v=spf1 include:_spf.hostedemail.com ip4:98.124.224.28/24 ip4:98.124.246.29 ip4:98.124.246.30 ip4:216.40.42.123 ip4:216.40.42.124 ip4:216.40.42.125 ip4:216.40.42.123 ip4:69.26.182.242 ip4:216.152.255.0/24 ip4:69.26.182.10 ip4:209.67.128.0/23 ip4:74.202.139.0/24 ip4:74.202.142.0/24 ip4:74.202.15.0/24 ip4:64.191.223.0/24 ip4:65.74.168.0/24 ip4:216.163.188.0/24 ip4:69.64.153.0/24  mx include:relay.mailchannels.net ?all,neutral,None,
uk.com,none,mailto:support@centralnic.com,mailto:support@centralnic.com,1,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:support@centralnic.com; ruf=mailto:support@centralnic.com;,v=spf1 mx ?all,neutral,None,
cox.net,none,"mailto:cox@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com","mailto:cox@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com",5,51.77.245.91,True,False,"v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:cox@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:cox@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com",v=spf1 include:_ipspf.yahoo.com include:cxr.spf.a.cloudfilter.net ip4:68.230.240.0/24 ip4:68.230.241.0/24 ?all,neutral,None,
nic.io,none,mailto:5280d7eb@inbox.ondmarc.com,mailto:5280d7eb@inbox.ondmarc.com,3,51.77.245.91,True,False,v=DMARC1; p=none; pct=100; fo=1; ri=3600; rua=mailto:5280d7eb@inbox.ondmarc.com; ruf=mailto:5280d7eb@inbox.ondmarc.com;,v=spf1 include:_u.nic.io._spf.smart.ondmarc.com ?all,neutral,None,
washington.edu,none,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,1,51.77.245.91,True,False,v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ?all,neutral,%{ir}.%{v}.%{d}.spf.has.pphosted.com,
ovh.net,none,mailto:dmarc+ovh.net@abuse.ovh.net,None,3,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:dmarc+ovh.net@abuse.ovh.net; rf=afrf; pct=100;,v=spf1 include:mx.ovh.com ?all,neutral,None,
seznam.cz,none,mailto:abuse@seznam.cz,None,1,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:abuse@seznam.cz,v=spf1 mx ip4:77.75.78.0/23 ip4:77.75.76.0/23 ip6:2a02:598::/32 ?all,neutral,None,
