Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
stanford.edu,quarantine,mailto:65cb29d44bd92@ag.dmarcly.com,mailto:65cb29d44bd92@fo.dmarcly.com,8,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:65cb29d44bd92@ag.dmarcly.com; ruf=mailto:65cb29d44bd92@fo.dmarcly.com;,v=spf1 ip4:171.67.219.64/27 ip4:171.67.224.0/28 ip4:171.67.43.137 ip4:171.67.43.138 ip4:171.67.43.139 ip4:171.67.43.140 ip4:171.67.43.141  include:_spf.google.com include:_spf.qualtrics.com include:icpbounce.com include:spf.protection.outlook.com ip4:148.163.149.245 ip4:148.163.153.235  ip4:148.163.135.119 ip4:148.163.139.119 ip4:67.231.149.169 ip4:67.231.157.125 ip4:67.231.152.67 ip4:208.84.65.155 ?all,neutral,None,
ox.ac.uk,quarantine,None,mailto:dmarc-ruf@it.ox.ac.uk,1,51.77.245.91,False,False,v=DMARC1; p=quarantine; ruf=mailto:dmarc-ruf@it.ox.ac.uk,v=spf1 redirect=_spf.ox.ac.uk,neutral,None,
sonobi.com,quarantine,mailto:it@sonobi.com,mailto:it@sonobi.com,7,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:it@sonobi.com; ruf=mailto:it@sonobi.com,v=spf1 include:_spf.google.com  include:servers.mcsv.net ip4:209.208.126.230 include:_spf.atlassian.net include:4768971.spf02.hubspotemail.net ?all,neutral,None,
3bmeteo.com,quarantine,"mailto:4677b61f984a4443b4f3d3830b3ab0f4@dmarc-reports.cloudflare.net,mailto:dmarc-reports@3bmeteo.com",None,5,51.77.245.91,True,False,"v=DMARC1; p=quarantine; rua=mailto:4677b61f984a4443b4f3d3830b3ab0f4@dmarc-reports.cloudflare.net,mailto:dmarc-reports@3bmeteo.com",v=spf1 mx ip4:217.61.45.0/24 ip4:217.61.24.0/24 include:_spf.google.com include:musvc.com ?all,neutral,None,
lww.com,quarantine,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:DMARC_RUA@wolterskluwer.com","mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_ruf@wolterskluwer.com",8,51.77.245.91,True,False,"v=DMARC1; p=quarantine; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:DMARC_RUA@wolterskluwer.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_ruf@wolterskluwer.com; pct=100; fo=1; ri=86400",v=spf1 ip4:74.203.48.131/32 ip4:167.89.16.99 a mx include:spf.wolterskluwer.com include:mktomail.com include:amazonses.com ?all,neutral,None,
ncsu.edu,quarantine,mailto:dmarc-reports@ncsu.edu,None,5,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc-reports@ncsu.edu; sp=quarantine; adkim=r; aspf=r;,v=spf1 mx include:_spf.google.com include:e2ma.net ?all,neutral,None,
cern.ch,quarantine,mailto:dmarc.rua@cern.ch,mailto:dmarc.rua@cern.ch,3,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; pct=100; rua=mailto:dmarc.rua@cern.ch; ruf=mailto:dmarc.rua@cern.ch; fo=1,v=spf1 include:spf.cern.ch ?all,neutral,None,
alltrails.com,quarantine,mailto:dmarc@alltrails.com,mailto:dmarc@alltrails.com,8,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; ri=86400; fo=1; rua=mailto:dmarc@alltrails.com; ruf=mailto:dmarc@alltrails.com;,v=spf1 include:mail.zendesk.com include:sendgrid.net include:spf.recurly.com include:_spf.google.com include:20193643.spf03.hubspotemail.net,neutral,None,
getadblock.com,quarantine,None,None,9,51.77.245.91,True,False,v=DMARC1; p=quarantine;,v=spf1 ip4:149.72.164.151 include:_spf.google.com include:mailgun.org include:mail.zendesk.com ?all,neutral,None,
autoevolution.com,quarantine,mailto:postmaster@softnews.ro,None,1,51.77.245.91,False,False,v=DMARC1; p=quarantine; pct=10; rua=mailto:postmaster@softnews.ro; adkim=r; aspf=r; fo=1; ri=86400; rf=afrf;,v=spf1 mx ip4:64.77.16.0/24 ip4:146.70.213.128/27,neutral,None,
sputnik.ru,quarantine,mailto:dmarc@sputnik.ru,mailto:dmarc@sputnik.ru,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; rua=mailto:dmarc@sputnik.ru; ruf=mailto:dmarc@sputnik.ru;,v=spf1 ip4:5.143.224.98/32 ip4:5.143.224.97/32 ip4:5.143.224.36/32 ?all,neutral,None,
met.no,quarantine,"mailto:dmarc-reports@met.no,mailto:dmarc@meteorologisk.uriports.com","mailto:dmarc-reports@met.no,mailto:dmarc@meteorologisk.uriports.com",9,51.77.245.91,True,False,"v=DMARC1 ; p=quarantine; rua=mailto:dmarc-reports@met.no,mailto:dmarc@meteorologisk.uriports.com; ruf=mailto:dmarc-reports@met.no,mailto:dmarc@meteorologisk.uriports.com; fo=1:d:s",v=spf1 include:_spf.google.com include:_spf.uninett.no include:spf.topdesk.net  include:sendgrid.net a:msg-out.onevoice.no a:int.met.no ip4:157.249.0.0/16 ip4:185.56.185.241 ?all,neutral,None,
multiscreensite.com,quarantine,mailto:dmarc-report@multiscreensite.com,None,1,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarc-report@multiscreensite.com,v=spf1 include:spf.mandrillapp.com ?all,neutral,None,
iamcook.ru,quarantine,None,None,2,51.77.245.91,True,False,v=DMARC1; p=quarantine;,v=spf1 include:spf.mail.selcloud.ru ?all,neutral,None,
lespompeurs.com,quarantine,mailto:abuse@lespompeurs.com,mailto:abuse@lespompeurs.com,3,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:abuse@lespompeurs.com; ruf=mailto:abuse@lespompeurs.com; sp=none; adkim=r; aspf=r;ri=86400;,v=spf1 include:_mailcust.gandi.net  include:spf.mailjet.com ?all,neutral,None,
max.ru,quarantine,mailto:rua-postmaster@max.ru,None,2,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:rua-postmaster@max.ru; pct=100;,v=spf1 include:_spf.notify.vk.company include:_spf.mail.ru,neutral,None,
nu.or.id,quarantine,mailto:administrator@nu.or.id!100k,mailto:administrator@nu.or.id!100k,1,51.77.245.91,False,False,v=DMARC1; p=quarantine; rua=mailto:administrator@nu.or.id!100k; ruf=mailto:administrator@nu.or.id!100k,v=spf1 a:pbnu.nu.or.id ip4:103.219.249.36 ?all,neutral,None,
zeturf.fr,quarantine,mailto:dmarc@zeturf.fr,None,2,51.77.245.91,True,False,v=DMARC1; p=quarantine; adkim=r; aspf=r; rua=mailto:dmarc@zeturf.fr ; pct=100,v=spf1 mx include:mail.zendesk.com ip4:78.24.212.96/27 ip4:94.125.60.0/24 ip4:62.210.118.0/24 ?all,neutral,None,
nature.org,quarantine,mailto:q5mqdnwj@ag.us.dmarcian.com,None,5,51.77.245.91,True,False,v=DMARC1;p=quarantine;pct=100;rua=mailto:q5mqdnwj@ag.us.dmarcian.com; fo=1;,v=spf1 mx:tnc.org include:outboundmail.blackbaud.net include:servers.mcsv.net include:us._netblocks.mimecast.com  ?all,neutral,None,
gaym.com,quarantine,mailto:dmarc@gaym.com,mailto:dmarc@gaym.com,3,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc@gaym.com; ruf=mailto:dmarc@gaym.com;,v=spf1 include:_mailcust.gandi.net include:spf.tipimail.com ?all,neutral,None,
locanto.org,quarantine,None,None,5,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; adkim=r; aspf=r;,v=spf1 ip4:91.203.100.0/22 a mx include:_spf.google.com,neutral,None,
halfords.com,quarantine,mailto:2066b8bd4a00336@rep.dmarcanalyzer.com,mailto:2066b8bd4a00336@for.dmarcanalyzer.com,8,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:2066b8bd4a00336@rep.dmarcanalyzer.com; ruf=mailto:2066b8bd4a00336@for.dmarcanalyzer.com; fo=1;,v=spf1 a mx include:spf.protection.outlook.com a:production.eu01.halfords.demandware.net a:infrastructure.pod264.demandware.net include:eu._netblocks.mimecast.com include:_spf.salesforce.com ?all,neutral,None,
apachehaus.com,quarantine,mailto:abuse@apachehaus.com,mailto:abuse@apachehaus.com,0,51.77.245.91,False,False,v=DMARC1;p=quarantine;adkim=r;aspf=r;pct=100;fo=0;rf=afrf;ri=86400;rua=mailto:abuse@apachehaus.com;ruf=mailto:abuse@apachehaus.com,v=spf1 +include:_spf.finetworks.fi ?all,neutral,None,
paymaya.com,quarantine,mailto:postmaster.admin@voyagerinnovation.com,mailto:postmaster.admin@voyagerinnovation.com,3,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:postmaster.admin@voyagerinnovation.com; ruf=mailto:postmaster.admin@voyagerinnovation.com; fo=1,v=spf1 include:_spf-dc10.sapsf.com include:spf.protection.outlook.com include:mail.zendesk.com,neutral,None,
stonybrook.edu,quarantine,mailto:stonybrook@us.cp-dmarc.com,mailto:stonybrook@us.cp-dmarc.com,5,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; fo=1; ruf=mailto:stonybrook@us.cp-dmarc.com; rua=mailto:stonybrook@us.cp-dmarc.com;,v=spf1 mx ip4:129.49.122.176 ip4:129.49.2.5 ip4:129.49.23.210 ip4:129.49.23.211 ip4:172.30.45.130 ip4:129.49.22.74 ip4:129.49.22.130 ip4:129.49.22.131 include:_spf.google.com include:outboundmail.convio.net ?all,neutral,None,
siteorigin.com,quarantine,mailto:re+v0fchfgxxlk@dmarc.postmarkapp.com,None,2,51.77.245.91,False,False,v=DMARC1; p=quarantine; sp=none; pct=100; rua=mailto:re+v0fchfgxxlk@dmarc.postmarkapp.com; ri=86400; aspf=r; adkim=s; fo=1;,v=spf1 mx a ?all,neutral,None,
realmadrid.com,quarantine,mailto:globaldpadmin@corp.realmadrid.com,mailto:globaldpadmin@corp.realmadrid.com,2,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:globaldpadmin@corp.realmadrid.com; ruf=mailto:globaldpadmin@corp.realmadrid.com; fo=1,v=spf1 include:_spf-ssg-a.microsoft.com,neutral,None,
