Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
yahoo.com,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,1,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,v=spf1 redirect=_spf.mail.yahoo.com,neutral,None,
aol.com,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,1,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,v=spf1 redirect=_spf.mail.yahoo.com,neutral,None,
bsky.app,reject,mailto:admin@bsky.app,None,2,51.77.245.91,True,False,v=DMARC1; p=reject; rua=mailto:admin@bsky.app;,v=spf1 mx include:mail.zendesk.com ?all,neutral,None,
bild.de,reject,mailto:dmarc-rua@dkim10888.de,mailto:dmarc-ruf@dkim10888.de,4,51.77.245.91,True,False,v=DMARC1; p=reject; sp=none; rua=mailto:dmarc-rua@dkim10888.de; ruf=mailto:dmarc-ruf@dkim10888.de,v=spf1 include:spf.asv.de include:spf.protection.outlook.com include:em6919.bild.de a:static.85-10-194-80.clients.your-server.de ?all,neutral,None,
umn.edu,reject,mailto:dmarcrpt@umn.edu,mailto:dmarcrpt@umn.edu,8,51.77.245.91,True,False,v=DMARC1; p=reject; pct=100; sp=reject; rua=mailto:dmarcrpt@umn.edu; ruf=mailto:dmarcrpt@umn.edu,v=spf1 include:_spf.google.com include:servers.mcsv.net include:_spf.umn.edu ?all,neutral,None,
geocities.com,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,1,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,v=spf1 redirect=_spf.mail.yahoo.com,neutral,None,
netscape.com,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,1,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,v=spf1 redirect=_spf.mail.yahoo.com,neutral,None,
webflow.com,reject,"mailto:dmarc-reports@webflow.com,mailto:re+9a4f4489f1fa@inbound.dmarcdigests.com",None,7,51.77.245.91,True,False,"v=DMARC1; p=reject; sp=none; rua=mailto:dmarc-reports@webflow.com,mailto:re+9a4f4489f1fa@inbound.dmarcdigests.com; aspf=r; pct=100",v=spf1 include:_spf.google.com include:spf.mailjet.com include:mail.zendesk.com include:_spf.salesforce.com ?all,neutral,None,
threatlocker.com,reject,mailto:dmarc@threatlocker.com,mailto:dmarc@threatlocker.com,6,51.77.245.91,True,False,v=DMARC1; p=reject; rua=mailto:dmarc@threatlocker.com; ruf=mailto:dmarc@threatlocker.com; sp=reject;,v=spf1 include:spf.protection.outlook.com include:docebosaas.com include:3949713.spf04.hubspotemail.net include:sendgrid.net include:cvent-planner.com,neutral,None,
namequery.com,reject,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,1,51.77.245.91,False,False,v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,v=spf1 mx,neutral,None,
oregonstate.edu,reject,mailto:sv1_dmarc_agg@oregonstate.edu,mailto:sv1_dmarc_report@oregonstate.edu,9,51.77.245.91,True,False,v=DMARC1; p=reject; pct=100; fo=1; rua=mailto:sv1_dmarc_agg@oregonstate.edu; ruf=mailto:sv1_dmarc_report@oregonstate.edu;,v=spf1 include:_spf.oregonstate.edu include:_spf.google.com include:spf.protection.outlook.com include:_spf.qualtrics.com include:spf-us.wfs.cloud include:_spf.salesforce.com ?all,neutral,None,
