Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
akamai.net,,None,None,0,51.77.245.91,False,False,,,none,None,
akamaiedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
windowsupdate.com,none,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=none; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1,,none,None,
ax-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
t-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
office.net,,None,None,0,51.77.245.91,False,False,,,none,None,
appsflyersdk.com,,None,None,0,51.77.245.91,False,False,,,none,None,
apple-dns.net,,None,None,0,51.77.245.91,False,False,,,none,None,
trafficmanager.net,,None,None,0,51.77.245.91,False,False,,,none,None,
dual-s-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
tiktokcdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
ln-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
root-servers.net,,None,None,0,51.77.245.91,False,False,,,none,None,
cloudflare-dns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
vedcdnlb.com,,None,None,0,51.77.245.91,False,False,,,none,None,
edgekey.net,,None,None,0,51.77.245.91,False,False,,,none,None,
msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
wac-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
edgesuite.net,,None,None,0,51.77.245.91,False,False,,,none,None,
bytefcdn-oversea.com,,None,None,0,51.77.245.91,False,False,,,none,None,
one.one,,None,None,0,51.77.245.91,False,False,,,none,None,
msftncsi.com,none,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=none; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1,,none,None,
trbcdn.net,,None,None,0,51.77.245.91,False,False,,,none,None,
adnxs.com,,None,None,0,51.77.245.91,False,False,,,none,None,
app-analytics-services.com,,None,None,0,51.77.245.91,False,False,,,none,None,
spov-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
forms.gle,,None,None,0,51.77.245.91,False,False,,,none,None,
tiktokcdn-us.com,,None,None,0,51.77.245.91,False,False,,,none,None,
dnsowl.com,,None,None,0,51.77.245.91,False,False,,,none,None,
cdn77.org,,None,None,0,51.77.245.91,False,False,,,none,None,
b-cdn.net,,None,None,0,51.77.245.91,False,False,,,none,None,
vecdnlb.com,,None,None,0,51.77.245.91,False,False,,,none,None,
spo-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
rbxcdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
shifen.com,,None,None,0,51.77.245.91,False,False,,,none,None,
azurefd.net,,None,None,0,51.77.245.91,False,False,,,none,None,
a-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
edgecdn.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
jomodns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
ksyuncdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
capcutapi.com,,None,None,0,51.77.245.91,False,False,,,none,None,
kwai-pro.com,,None,None,0,51.77.245.91,False,False,,,none,None,
azurewebsites.net,,None,None,0,51.77.245.91,False,False,,,none,None,
akamaized.net,,None,None,0,51.77.245.91,False,False,,,none,None,
wsdvs.com,,None,None,0,51.77.245.91,False,False,,,none,None,
mangosip.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
rocket-cdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
mtgglobals.com,,None,None,0,51.77.245.91,False,False,,,none,None,
safebrowsing.apple,,None,None,0,51.77.245.91,False,False,,,none,None,
playstation.net,,None,None,0,51.77.245.91,False,False,,,none,None,
ttdns2.com,,None,None,0,51.77.245.91,False,False,,,none,None,
openx.net,,None,None,0,51.77.245.91,False,False,,,none,None,
media-amazon.com,,None,None,0,51.77.245.91,False,False,,,none,None,
vedsalb.com,,None,None,0,51.77.245.91,False,False,,,none,None,
samsungqbe.com,,None,None,0,51.77.245.91,False,False,,,none,None,
14emeliaterracewestroxburyma02132.su,,None,None,0,51.77.245.91,False,False,,,none,None,
byteoversea.net,none,None,None,0,51.77.245.91,False,False,v=DMARC1,,none,None,
www.gov.uk,,None,None,0,51.77.245.91,False,False,,,none,None,
jsdelivr.net,,None,None,0,51.77.245.91,False,False,,,none,None,
shalltry.com,,None,None,0,51.77.245.91,False,False,,,none,None,
3lift.com,,None,None,0,51.77.245.91,False,False,,,none,None,
dns.cn,,None,None,0,51.77.245.91,False,False,,,none,None,
debian.org,,None,None,0,51.77.245.91,False,False,,,none,None,
nominetdns.uk,,None,None,0,51.77.245.91,False,False,,,none,None,
douyincdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
fastly-edge.com,,None,None,0,51.77.245.91,False,False,,,none,None,
heytapmobile.com,,None,None,0,51.77.245.91,False,False,,,none,None,
mynetname.net,,None,None,0,51.77.245.91,False,False,,,none,None,
azureedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
overload.su,,None,None,0,51.77.245.91,False,False,,,none,None,
tiktokv.us,,None,None,0,51.77.245.91,False,False,,,none,None,
pages.dev,,None,None,0,51.77.245.91,False,False,,,none,None,
id5-sync.com,,None,None,0,51.77.245.91,False,False,,,none,None,
akamaihd.net,,None,None,0,51.77.245.91,False,False,,,none,None,
samsungcloudsolution.com,,None,None,0,51.77.245.91,False,False,,,none,None,
allawnos.com,,None,None,0,51.77.245.91,False,False,,,none,None,
dns-parking.com,,None,None,0,51.77.245.91,False,False,,,none,None,
heytapdl.com,,None,None,0,51.77.245.91,False,False,,,none,None,
browser-intake-datadoghq.com,,None,None,0,51.77.245.91,False,False,,,none,None,
ibyteimg.com,,None,None,0,51.77.245.91,False,False,,,none,None,
ipv4only.arpa,,None,None,0,51.77.245.91,False,False,,,none,None,
tiktokrow-cdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
tiktokcdn-eu.com,,None,None,0,51.77.245.91,False,False,,,none,None,
kwaipros.com,,None,None,0,51.77.245.91,False,False,,,none,None,
cdnbuild.net,,None,None,0,51.77.245.91,False,False,,,none,None,
sc-gw.com,,None,None,0,51.77.245.91,False,False,,,none,None,
fb-t-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
list-manage.com,,None,None,0,51.77.245.91,False,False,,,none,None,
imcmdb.net,,None,None,0,51.77.245.91,False,False,,,none,None,
tiktokv.eu,,None,None,0,51.77.245.91,False,False,,,none,None,
sfx.ms,,None,None,0,51.77.245.91,False,False,,,none,None,
qlivecdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
avcdn.net,,None,None,0,51.77.245.91,False,False,,,none,None,
pangle.io,,None,None,0,51.77.245.91,False,False,,,none,None,
imgsmail.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
myhuaweicloud.com,,None,None,0,51.77.245.91,False,False,,,none,None,
xcal.tv,,None,None,0,51.77.245.91,False,False,,,none,None,
live-video.net,,None,None,0,51.77.245.91,False,False,,,none,None,
kwai.net,,None,None,0,51.77.245.91,False,False,,,none,None,
cdn20.com,,None,None,0,51.77.245.91,False,False,,,none,None,
alidns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
goskope.com,none,mailto:hostmaster@goskope.com,None,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:hostmaster@goskope.com,,none,None,
wbx2.com,,None,None,0,51.77.245.91,False,False,,,none,None,
bdydns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
beian.gov.cn,,None,None,0,51.77.245.91,False,False,,,none,None,
online-metrix.net,,None,None,0,51.77.245.91,False,False,,,none,None,
b-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
avsxappcaptiveportal.com,,None,None,0,51.77.245.91,False,False,,,none,None,
adverity.net,,None,None,0,51.77.245.91,False,False,,,none,None,
indexww.com,,None,None,0,51.77.245.91,False,False,,,none,None,
wbbasket.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
l-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
mysql.com,none,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1,,none,None,
msidentity.com,none,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=none; sp=none; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1,,none,None,
360yield.com,,None,None,0,51.77.245.91,False,False,,,none,None,
s-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
ys7.com,,None,None,0,51.77.245.91,False,False,,,none,None,
tencent-cloud.net,,None,None,0,51.77.245.91,False,False,,,none,None,
rlcdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
myqcloud.com,,None,None,0,51.77.245.91,False,False,,,none,None,
vtwenty.com,,None,None,0,51.77.245.91,False,False,,,none,None,
spaceweb.pro,,None,None,0,51.77.245.91,False,False,,,none,None,
quickconnect.to,,None,None,0,51.77.245.91,False,False,,,none,None,
nel.goog,,None,None,0,51.77.245.91,False,False,,,none,None,
byteglb.com,,None,None,0,51.77.245.91,False,False,,,none,None,
duckdns.org,,None,None,0,51.77.245.91,False,False,,,none,None,
gandi-ns.fr,,None,None,0,51.77.245.91,False,False,,,none,None,
ozone.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
hicloud.com,,None,None,0,51.77.245.91,False,False,,,none,None,
ovscdns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
cncdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
worldnic.com,,None,None,0,51.77.245.91,False,False,,,none,None,
twimg.com,,None,None,0,51.77.245.91,False,False,,,none,None,
samsungapps.com,,None,None,0,51.77.245.91,False,False,,,none,None,
tbcache.com,,None,None,0,51.77.245.91,False,False,,,none,None,
easebar.com,,None,None,0,51.77.245.91,False,False,,,none,None,
smaato.net,,None,None,0,51.77.245.91,False,False,,,none,None,
bytefcdn-ttpus.com,,None,None,0,51.77.245.91,False,False,,,none,None,
wswebcdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
vidaahub.com,,None,None,0,51.77.245.91,False,False,,,none,None,
azure-dns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
nic.network,,None,None,0,51.77.245.91,False,False,,,none,None,
bytefcdn-ttpeu.com,,None,None,0,51.77.245.91,False,False,,,none,None,
bamgrid.com,,None,None,0,51.77.245.91,False,False,,,none,None,
ks-cdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
cdnhwc1.com,,None,None,0,51.77.245.91,False,False,,,none,None,
queniuaa.com,,None,None,0,51.77.245.91,False,False,,,none,None,
whecloud.com,,None,None,0,51.77.245.91,False,False,,,none,None,
cmediahub.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
pvp.net,,None,None,0,51.77.245.91,False,False,,,none,None,
bidr.io,,None,None,0,51.77.245.91,False,False,,,none,None,
creativecdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
namebrightdns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
impervadns.net,,None,None,0,51.77.245.91,False,False,,,none,None,
dbankcloud.com,,None,None,0,51.77.245.91,False,False,,,none,None,
afilias-nst.info,,None,None,0,51.77.245.91,False,False,,,none,None,
omnitagjs.com,,None,None,0,51.77.245.91,False,False,,,none,None,
telecid.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
hihonorcloud.com,,None,None,0,51.77.245.91,False,False,,,none,None,
cdn90.cn,,None,None,0,51.77.245.91,False,False,,,none,None,
imrworldwide.com,,None,None,0,51.77.245.91,False,False,,,none,None,
miwifi.com,,None,None,0,51.77.245.91,False,False,,,none,None,
a-mo.net,,None,None,0,51.77.245.91,False,False,,,none,None,
chesselo2000.cfd,,None,None,0,51.77.245.91,False,False,,,none,None,
volcfcdndvs.com,,None,None,0,51.77.245.91,False,False,,,none,None,
e-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
lgtvcommon.com,,None,None,0,51.77.245.91,False,False,,,none,None,
aliyuncsslbintl.com,,None,None,0,51.77.245.91,False,False,,,none,None,
166.com,,None,None,0,51.77.245.91,False,False,,,none,None,
afilias-nst.org,,None,None,0,51.77.245.91,False,False,,,none,None,
cdn-vk.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
geobasket.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
azure-devices.net,,None,None,0,51.77.245.91,False,False,,,none,None,
vegalb.com,,None,None,0,51.77.245.91,False,False,,,none,None,
go-mpulse.net,none,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,,none,None,
yximgs.com,,None,None,0,51.77.245.91,False,False,,,none,None,
dbankcloud.cn,,None,None,0,51.77.245.91,False,False,,,none,None,
youku.com,none,mailto:dmarc_alibaba@service.alibaba.com,mailto:dmarc_alibaba@service.alibaba.com,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:dmarc_alibaba@service.alibaba.com; ruf=mailto:dmarc_alibaba@service.alibaba.com,,none,None,
readthedocs.io,,None,None,0,51.77.245.91,False,False,,,none,None,
eu-1-id5-sync.com,,None,None,0,51.77.245.91,False,False,,,none,None,
mailchi.mp,,None,None,0,51.77.245.91,False,False,,,none,None,
nic.tv,,None,None,0,51.77.245.91,False,False,,,none,None,
adguard-vpn.online,,None,None,0,51.77.245.91,False,False,,,none,None,
cdnhwc2.com,,None,None,0,51.77.245.91,False,False,,,none,None,
btloader.com,,None,None,0,51.77.245.91,False,False,,,none,None,
prodregistryv2.org,,None,None,0,51.77.245.91,False,False,,,none,None,
ctdns.cn,,None,None,0,51.77.245.91,False,False,,,none,None,
dbankcloud.ru,,None,None,0,51.77.245.91,False,False,,,none,None,
adgrx.com,,None,None,0,51.77.245.91,False,False,,,none,None,
bytefcdn.com,,None,None,0,51.77.245.91,False,False,,,none,None,
samsungcloudsolution.net,,None,None,0,51.77.245.91,False,False,,,none,None,
capcut.com,none,mailto:dmarc_report@bytedance.com,mailto:dmarc@bytedance.com,0,51.77.245.91,False,False,v=DMARC1;p=none;ruf=mailto:dmarc@bytedance.com;rua=mailto:dmarc_report@bytedance.com,,none,None,
bx-msedge.net,,None,None,0,51.77.245.91,False,False,,,none,None,
ad.gt,,None,None,0,51.77.245.91,False,False,,,none,None,
kueezrtb.com,,None,None,0,51.77.245.91,False,False,,,none,None,
rayjump.com,,None,None,0,51.77.245.91,False,False,,,none,None,
microsoftpersonalcontent.com,,None,None,0,51.77.245.91,False,False,,,none,None,
4dex.io,,None,None,0,51.77.245.91,False,False,,,none,None,
herokudns.com,,None,None,0,51.77.245.91,False,False,,,none,None,
nelreports.net,,None,None,0,51.77.245.91,False,False,,,none,None,
