Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
office.com,quarantine,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1,,none,None,
samsungcloud.com,quarantine,mailto:scloud.ops@samsung.com,mailto:scloud.ops@samsung.com,0,51.77.245.91,False,False,v=DMARC1;p=quarantine;pct=50;rua=mailto:scloud.ops@samsung.com;ruf=mailto:scloud.ops@samsung.com;aspf=r,,none,None,
disneyplus.com,quarantine,"mailto:dmarc_agg@dmarc.250ok.net, mailto:dmarc_rua@emaildefense.proofpoint.com",mailto:dmarc_ruf@emaildefense.proofpoint.com,0,51.77.245.91,False,False,"v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@dmarc.250ok.net, mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1; pct=100; rf=afrf",,none,None,
nikkei.com,quarantine,mailto:dmarc-nikkeicom@mx.nikkei.com,None,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc-nikkeicom@mx.nikkei.com,,none,None,
shopifysvc.com,quarantine,mailto:dmarc-aggregate@shopify.com,mailto:dmarc-reports@shopify.com,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; pct=0; fo=1; rua=mailto:dmarc-aggregate@shopify.com; ruf=mailto:dmarc-reports@shopify.com,,none,None,
isappcloud.com,quarantine,mailto:dmarcreport@is.com,mailto:dmarcreport@is.com,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; rua=mailto:dmarcreport@is.com; ruf=mailto:dmarcreport@is.com; fo=1,,none,None,
aljazeera.com,quarantine,mailto:dmarc-mailauth@aljazeera.net,mailto:dmarc-mailfor@aljazeera.net,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; rua=mailto:dmarc-mailauth@aljazeera.net; ruf=mailto:dmarc-mailfor@aljazeera.net; fo=s;,,none,None,
lazada.sg,quarantine,mailto:dmarc_alibaba@service.alibaba.com,mailto:dmarc_alibaba@service.alibaba.com,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; rua=mailto:dmarc_alibaba@service.alibaba.com; ruf=mailto:dmarc_alibaba@service.alibaba.com,,none,None,
tealiumiq.com,quarantine,mailto:donald.scherer@tealium.com,mailto:donald.scherer@tealium.com,0,51.77.245.91,False,False,v=DMARC1;p=quarantine;pct=25;rua=mailto:donald.scherer@tealium.com;ruf=mailto:donald.scherer@tealium.com;fo=0:1:s;,,none,None,
bitnami.com,quarantine,None,None,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; fo=1,,none,None,
rutgers.edu,quarantine,mailto:ru_rua_reports@oit.rutgers.edu,mailto:ru_ruf_reports@oit.rutgers.edu,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:ru_rua_reports@oit.rutgers.edu;ruf=mailto:ru_ruf_reports@oit.rutgers.edu; sp=quarantine; adkim=r; aspf=r; fo=0:d;,,none,None,
