Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
gtld-servers.net,reject,"mailto:verisign@rua.agari.com,mailto:mailreports@verisign.com","mailto:verisign@ruf.agari.com,mailto:mailauthfail@verisign.com",0,51.77.245.91,False,False,"v=DMARC1; p=reject; fo=1; rf=afrf; ri=86400; rua=mailto:verisign@rua.agari.com,mailto:mailreports@verisign.com; ruf=mailto:verisign@ruf.agari.com,mailto:mailauthfail@verisign.com",,none,None,
okcdn.ru,reject,mailto:dmarc_rua@corp.mail.ru,None,0,51.77.245.91,False,False,v=DMARC1;p=reject;rua=mailto:dmarc_rua@corp.mail.ru;fo=1;,,none,None,
msftconnecttest.com,reject,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=reject; rua=mailto:rua@dmarc.microsoft;ruf=mailto:ruf@dmarc.microsoft;fo=1:s:d,,none,None,
nstld.com,reject,"mailto:verisign@rua.agari.com,mailto:mailreports@verisign.com","mailto:verisign@ruf.agari.com,mailto:mailauthfail@verisign.com",0,51.77.245.91,False,False,"v=DMARC1; p=reject; fo=1; rf=afrf; ri=86400; rua=mailto:verisign@rua.agari.com,mailto:mailreports@verisign.com; ruf=mailto:verisign@ruf.agari.com,mailto:mailauthfail@verisign.com",,none,None,
adsafeprotected.com,reject,None,None,0,51.77.245.91,False,False,v=DMARC1; p=reject; adkim=s; aspf=s;,,none,None,
clarity.ms,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1,,none,None,
rzone.de,reject,mailto:rzone_de@dmarc-reports.rzone.de,mailto:processed@strato-dmarc.de,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; adkim=r; rua=mailto:rzone_de@dmarc-reports.rzone.de; ruf=mailto:processed@strato-dmarc.de,,none,None,
svc.ms,reject,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft ; fo=1,,none,None,
yahoodns.net,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,,none,None,
cloudflareinsights.com,reject,mailto:cloudflare@dmarc.area1reports.com,mailto:cloudflare@dmarc.area1reports.com,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:cloudflare@dmarc.area1reports.com; ruf=mailto:cloudflare@dmarc.area1reports.com,,none,None,
exp-tas.com,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1,,none,None,
gamepass.com,reject,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1,,none,None,
onetag-sys.com,reject,mailto:dmarc-report@onetag.com,mailto:dmarc-report@onetag.com,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:dmarc-report@onetag.com; ruf=mailto:dmarc-report@onetag.com,,none,None,
1drv.com,reject,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=reject; sp=reject; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1,,none,None,
usgovcloudapi.net,reject,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,0,51.77.245.91,False,False,v=DMARC1; p=reject; rua=mailto:rua@dmarc.microsoft;ruf=mailto:ruf@dmarc.microsoft;fo=1:s:d,,none,None,
yimg.com,reject,mailto:dmarc-yahoo-rua@yahoo-inc.com,None,0,51.77.245.91,False,False,v=DMARC1; p=reject; pct=100; rua=mailto:dmarc-yahoo-rua@yahoo-inc.com;,,none,None,
eepurl.com,reject,None,None,0,51.77.245.91,False,False,v=DMARC1; p=reject;,,none,None,
dropboxapi.com,reject,"mailto:c7xrs-8253@rua.dmarc.emailanalyst.com,mailto:dmarc@dropbox.com",None,0,51.77.245.91,False,False,"v=DMARC1;p=reject;pct=100;rua=mailto:c7xrs-8253@rua.dmarc.emailanalyst.com,mailto:dmarc@dropbox.com",,none,None,
