Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
nginx.com,none,mailto:dmarc_agg@vali.email,mailto:dmarc_report@f5.com,7,51.77.245.91,True,False,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:dmarc_agg@vali.email; ruf=mailto:dmarc_report@f5.com,v=spf1 ip4:206.251.255.60/30 ip4:94.130.165.194/32 ip4:206.251.255.64/31  ip4:104.219.104.14 ip4:104.219.105.14 ip4:104.219.106.14 ip4:104.219.107.14  ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21  ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16  include:spf.protection.outlook.com include:_spf.google.com include:mktomail.com include:spf1.mailgun.org include:spf2.mailgun.org ~all,permerror,"spf1.mailgun.org,spf2.mailgun.org",
miit.gov.cn,,None,None,1,51.77.245.91,False,False,,v=spf1 mx ip4:106.74.81.29 ~all,permerror,None,
pubmatic.com,none,mailto:dmarc-reports@pubmatic.com,mailto:dmarc-reports@pubmatic.com,24,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:dmarc-reports@pubmatic.com; ruf=mailto:dmarc-reports@pubmatic.com; fo=1,v=spf1 ip4:18.200.1.103 ip4:52.8.26.248 ip4:162.248.17.59 ip4:74.199.212.72 include:jira.iponweb.net include:_spf-dc41.sapsf.com include:_spf.salesforce.com include:aspmx.pardot.com include:_spf.qualtrics.com include:spf.protection.outlook.com include:spf.tipalti.com include:mail.zendesk.com include:_spf.psm.knowbe4.com include:spf.talpanetwork.com -all,permerror,None,
weather.com,none,mailto:dmarc@weather.com,None,11,51.77.245.91,True,False,v=DMARC1;p=none;rua=mailto:dmarc@weather.com,v=spf1 ip4:96.8.80.136 ip4:96.8.80.135 ip4:96.8.82.135 ip4:96.8.84.135 ip4:96.8.88.240 ip4:208.106.251.89 ip4:65.212.71.11 ip4:96.8.93.78 ip4:96.8.93.79 ip4:96.8.92.25 ip4:185.57.95.81 ip4:54.208.146.123 ip4:52.90.110.211 ip4:54.174.191.95 a:zgateway.zuora.com include:_spf.google.com include:amazonses.com include:mktomail.com include:spf.mandrillapp.com include:_spf.salesforce.com include:apexportal.nbcuni.com ~all,permerror,None,
nease.net,,None,None,13,51.77.245.91,True,False,,v=spf1 include:service.netease.com -all,permerror,None,
hichina.com,,None,None,7,51.77.245.91,True,False,,v=spf1 include:spf1.hichina.com include:spf2.hichina.com include:spf3.hichina.com include:spf4.hichina.com include:spf1.hichina.mail.aliyun.com -all,permerror,None,
inner-active.mobi,,None,None,5,51.77.245.91,True,False,,v=spf1 mx mx:a include:secureserver.net ip4:23.20.171.99 -all,permerror,None,
gcdn.co,,None,None,1,51.77.245.91,False,False,,v=spf1 redirect=spf.gc.onl,permerror,None,
techcrunch.com,none,mailto:6cc97f5d2993594@rep.dmarcanalyzer.com,mailto:6cc97f5d2993594@for.dmarcanalyzer.com,11,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:6cc97f5d2993594@rep.dmarcanalyzer.com; ruf=mailto:6cc97f5d2993594@for.dmarcanalyzer.com; fo=1;,v=spf1 a mx include:usb._netblocks.mimecast.com include:spf.protection.outlook.com include:_spf.google.com include:amazonses.com include:44101848.spf06.hubspotemail.net include:aspmx.sailthru.com include:mktomail.com ip4:148.163.135.35 ip4:148.163.139.55 -all,permerror,None,
withgoogle.com,none,mailto:mailauth-reports@google.com,None,6,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:mailauth-reports@google.com,v=spf1 include:_spf.ip.bluestatedigital.com include:_spf.a.bluestatedigital.com include:_spf.google.com include:mktomail.com ~all,permerror,"_spf.ip.bluestatedigital.com,_spf.a.bluestatedigital.com",
