Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
rubiconproject.com,quarantine,mailto:dmarc@rubiconproject.com,None,11,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=50; rua=mailto:dmarc@rubiconproject.com,v=spf1 ip4:72.34.113.100 ip4:69.194.143.140 include:spf.rubiconproject.com include:sendgrid.net include:_spf.google.com include:mktomail.com include:spf.mandrillapp.com include:aspmx.pardot.com ~all,permerror,None,
dropcatch.com,quarantine,mailto:dmarcreports@turncommerce.com,mailto:dmarcreports@turncommerce.com,7,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarcreports@turncommerce.com; ruf=mailto:dmarcreports@turncommerce.com; fo=1;,v=spf1 include:sparkpostmail.com include:spmailtechno.com include:bounce.dropcatch.com mx:spmailtechno.com -all,permerror,None,
uber.com,quarantine,mailto:dmarc_agg@vali.email,None,7,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email,v=spf1 include:uber.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email include:mailgun.org ~all,permerror,None,
outbrain.com,quarantine,mailto:re+10c93cb5f74a@inbound.dmarcdigests.com,None,13,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:re+10c93cb5f74a@inbound.dmarcdigests.com; sp=quarantine;,v=spf1 mx include:_spf1.outbrain.com include:_spf2.outbrain.com include:_spf3.outbrain.com include:stspg-customer.com include:cust-spf.exacttarget.com include:_spf.google.com ~all,permerror,None,
zemanta.com,quarantine,mailto:re+30935511bcb8@inbound.dmarcdigests.com,None,11,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; rua=mailto:re+30935511bcb8@inbound.dmarcdigests.com; pct=100,v=spf1 ip4:90.157.175.98 ip4:84.255.205.152 ip4:50.31.142.0/24 ip4:85.222.150.0/24 ip4:161.71.14.0/24 include:_spf.google.com include:spf.tipalti.com include:mailgun.org include:_spf.salesforce.com ~all,permerror,None,
teads.tv,quarantine,"mailto:055e16fe@mxtoolbox.dmarc-report.com,mailto:dmarc@teads.tv,mailto:re+cd796276f503@inbound.dmarcdigests.com",mailto:055e16fe@forensics.dmarc-report.com,23,51.77.245.91,True,False,"v=DMARC1; p=quarantine; pct=100; rua=mailto:055e16fe@mxtoolbox.dmarc-report.com,mailto:dmarc@teads.tv,mailto:re+cd796276f503@inbound.dmarcdigests.com; ruf=mailto:055e16fe@forensics.dmarc-report.com",v=spf1 a include:_spf.google.com include:amazonses.com include:spf1.teads.tv include:spf2.teads.tv -all,permerror,None,
singular.net,quarantine,mailto:dmarc@singular.net,None,12,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; ri=86400; rua=mailto:dmarc@singular.net,v=spf1 include:_spf.salesforce.com  include:mail.zendesk.com include:40235046.spf07.hubspotemail.net include:_spf.google.com include:spf.mandrillapp.com include:amazonses.com include:aspmx.pardot.com include:servers.mcsv.net -all,permerror,None,
adblockplus.org,quarantine,mailto:dmarc-reports@adblockplus.org,None,12,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarc-reports@adblockplus.org,v=spf1 include:spf1.adblockplus.org include:_spf.google.com include:sendgrid.net -all,permerror,None,
playrix.com,quarantine,"mailto:dmarc@playrix.com,mailto:heu4fffb@rua.dmarceye.com",None,12,51.77.245.91,True,False,"v=DMARC1; p=quarantine; pct=10; rua=mailto:dmarc@playrix.com,mailto:heu4fffb@rua.dmarceye.com",v=spf1 include:_spf.google.com include:sendgrid.net include:mail.helpshift.com include:amazonses.com ~all,permerror,None,
gismeteo.ru,quarantine,None,None,10,51.77.245.91,True,False,v=DMARC1; p=quarantine;,v=spf1 mx include:_spf.gismeteo.ru include:_spf.google.com ~all,permerror,None,
yale.edu,quarantine,"mailto:dmarc_agg@vali.email,mailto:dmarc.reports@yale.edu",mailto:dmarc.reports@yale.edu,1,51.77.245.91,True,False,"v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email,mailto:dmarc.reports@yale.edu; ruf=mailto:dmarc.reports@yale.edu; fo=1",v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,permerror,None,
