Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
cloudfront.net,reject,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,0,51.77.245.91,False,False,v=DMARC1; p=reject; rua=mailto:report@dmarc.amazon.com; ruf=mailto:report@dmarc.amazon.com,v=spf1 pjm032381tyh13bhb7nx11nytjlcjc6y -all,permerror,None,
applovin.com,reject,mailto:postmaster@applovin.com,None,17,51.77.245.91,True,False,v=DMARC1; p=reject; rua=mailto:postmaster@applovin.com,v=spf1 include:_spf.google.com include:sendgrid.net include:spf.tipalti.com include:mailsenders.netsuite.com include:5209470.spf03.hubspotemail.net include:relay.mailchannels.net include:mailgun.org include:_spf.salesforce.com ~all,permerror,None,
who.int,reject,"mailto:422b6d07@inbox.ondmarc.com,mailto:dmarc-rua@who.int",None,13,51.77.245.91,True,False,"v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:422b6d07@inbox.ondmarc.com,mailto:dmarc-rua@who.int;",v=spf1 ip4:158.232.12.0/24 include:spf.protection.outlook.com include:_spfincludes.who.int -all,permerror,None,
quora.com,reject,mailto:dmarc+rua@quora.com,None,11,51.77.245.91,True,False,v=DMARC1; p=reject;rua=mailto:dmarc+rua@quora.com;,v=spf1 include:_spf1.quora.com include:_spf2.quora.com include:_spf.google.com include:mail.zendesk.com include:mailsenders.netsuite.com include:mktomail.com include:_spf.salesforce.com ~all,permerror,None,
npr.org,reject,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc@npr.org",None,8,51.77.245.91,True,False,"v=DMARC1; p=reject; adkim=r; aspf=r; pct=100; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc@npr.org;",v=spf1 include:spf-0032f701.pphosted.com include:spf.protection.outlook.com include:prss.org exists:%{i}._spf.mta.salesforce.com include:c9eb27a2d7.berenice.eoidentity.com ip4:64.124.132.59/32 ip4:66.150.167.192/27 ip4:162.242.229.170 ip4:205.153.38.0/24 ip4:205.153.36.170 ip4:40.107.0.0/16 ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:148.105.0.0/16 ip4:139.60.0.0/24 ip4:139.60.1.0/24 ip4:139.60.2.0/24 ip4:139.60.3.0/24 ip4:13.111.0.0/16 ip4:136.147.135.0/24 ip4:136.147.176.0/24 ip4:136.147.182.0/24 ip4:198.245.81.0/24 ip4:199.122.123.0/24 ip4:195.66.99.135 ip4:212.227.89.57 ip4:217.160.226.166 ip4:54.194.192.132 ip4:62.75.247.44 ip4:82.165.193.1 ip4:85.25.144.9 ip4:87.79.30.25 ip4:87.79.30.30 ip4:208.86.168.7 ip4:135.84.68.123 ip4:206.152.14.54 ip4:54.240.43.16 include:_spf.salesforce.com ip4:209.144.103.186 include:spf.mandrillapp.com -all,permerror,c9eb27a2d7.berenice.eoidentity.com,
giphy.com,reject,"mailto:add78bd9e2@rua.easydmarc.us,mailto:dmarc@giphy.com",mailto:dmarc-reports@shutterstock.com,11,51.77.245.91,True,False,"v=DMARC1; p=reject; pct=100; rua=mailto:add78bd9e2@rua.easydmarc.us,mailto:dmarc@giphy.com; ruf=mailto:dmarc-reports@shutterstock.com; rf=afrf",v=spf1 include:sendgrid.net include:_spf.google.com include:_spf.mailgun.org include:_spf.eu.mailgun.org include:servers.mcsv.net exists:%{i}._spf.mta.salesforce.com -all,permerror,None,
indiatimes.com,reject,mailto:accepted@indiatimes.com,mailto:quarantine@indiatimes.com,4,51.77.245.91,True,False,v=DMARC1; p=reject; rua=mailto:accepted@indiatimes.com; ruf=mailto:quarantine@indiatimes.com; rf=afrf; pct=100,v=spf1 include:_rng3.indiatimes.com include:_rng2.indiatimes.com include:tilc.in -all,permerror,None,
gitlab.com,reject,None,None,14,51.77.245.91,True,False,v=DMARC1; p=reject; pct=100,v=spf1 include:mail.zendesk.com include:_spf.google.com include:mktomail.com include:_spf.salesforce.com include:_spf-ip.gitlab.com a:zgateway.zuora.com include:mailgun.org ip4:35.80.141.6/32 ip4:44.229.121.55/32 -all,permerror,None,
lijit.com,reject,mailto:b79a10dff6@rua.easydmarc.us,mailto:b79a10dff6@ruf.easydmarc.us,3,51.77.245.91,True,False,v=DMARC1;p=reject;rua=mailto:b79a10dff6@rua.easydmarc.us;ruf=mailto:b79a10dff6@ruf.easydmarc.us;aspf=s;adkim=s;fo=1:s,v=spf1 include:_spf.lijit_com._d.easydmarc.pro ~all,permerror,None,
newrelic.com,reject,"mailto:postmaster@newrelic.com,mailto:dmarc@newrelic.com,mailto:rukavvyb@ag.dmarcian.com",mailto:dmarc@newrelic.com,11,51.77.245.91,True,False,"v=DMARC1; p=reject; rua=mailto:postmaster@newrelic.com,mailto:dmarc@newrelic.com,mailto:rukavvyb@ag.dmarcian.com; ruf=mailto:dmarc@newrelic.com; pct=100",v=spf1 ip4:54.214.46.183/32 ip4:38.129.65.12/32 ip4:149.72.209.60/32 include:mktomail.com include:_spf.google.com include:mailgun.org include:docebosaas.com include:_spf.qualtrics.com ~all,permerror,None,
datadoghq.com,reject,mailto:cf7bae72c4c4101@rep.dmarcanalyzer.com,None,11,51.77.245.91,True,False,v=DMARC1; p=reject; pct=100; rua=mailto:cf7bae72c4c4101@rep.dmarcanalyzer.com,v=spf1 include:_spf.google.com include:amazonses.com include:mktomail.com include:stspg-customer.com include:mailgun.org ~all,permerror,None,
