Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
live.com,none,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,5,51.77.245.91,True,False,v=DMARC1; p=none; sp=quarantine; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1,v=spf1 include:spf-a.hotmail.com include:spf-b.hotmail.com include:spf-c.hotmail.com include:spf-d.hotmail.com include:spf.protection.outlook.com ~all,softfail,None,
fbcdn.net,none,mailto:a@dmarc.facebookmail.com,None,1,51.77.245.91,False,False,v=DMARC1; p=none; sp=none; rua=mailto:a@dmarc.facebookmail.com,v=spf1 a ~all,softfail,None,
azure.com,none,mailto:rua@dmarc.microsoft,mailto:ruf@dmarc.microsoft,2,51.77.245.91,True,False,v=DMARC1; p=none; pct=100; rua=mailto:rua@dmarc.microsoft; ruf=mailto:ruf@dmarc.microsoft; fo=1,v=spf1 include:sparkpostmail.com ~all,softfail,None,
msn.com,none,mailto:d@rua.agari.com,None,7,51.77.245.91,True,False,v=DMARC1; p=none; sp=quarantine; pct=100; rua=mailto:d@rua.agari.com; fo=1,v=spf1 include:spf.protection.outlook.com include:spf-a.hotmail.com include:spf-b.hotmail.com include:spf-c.hotmail.com include:spf-d.hotmail.com include:_spf-ssg-a.microsoft.com ~all,softfail,None,
ripn.net,,None,None,0,51.77.245.91,False,False,,v=spf1 ip4:194.226.71.84 ip6:2001:6d0:ffd9:322:194:226:71:84 ip4:195.209.146.55 ip4:195.209.146.174 ip6:2001:6d0:ffd9:305:195:209:146:174 ip6:2001:6d0:ffd9:328:195:209:146:55 ip4:195.209.3.5 ip6:2001:6d0:ffff:100::2 ip4:195.209.14.26 ip4:194.226.69.16/28 ip4:194.226.65.249 ip4:194.190.148.184 ip4:194.226.76.132 ip4:194.226.74.7 ip6:2001:6d0:ffd9:330:194:226:76:132 ~all,softfail,None,
yandex.net,,None,None,1,51.77.245.91,False,False,,v=spf1 redirect=_spf.yandex.ru,softfail,None,
samsung.com,none,mailto:postmaster@samsung.com,mailto:postmaster@samsung.com,1,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:postmaster@samsung.com; ruf=mailto:postmaster@samsung.com,v=spf1 include:_spf.samsung.com ~all,softfail,None,
cdninstagram.com,,None,None,1,51.77.245.91,False,False,,v=spf1 a ~all,softfail,None,
wa.me,,None,None,1,51.77.245.91,False,False,,v=spf1 a ~all,softfail,None,
nginx.org,,None,None,0,51.77.245.91,False,False,,v=spf1 ip4:206.251.255.60/30 ip4:94.130.165.194/32 ip4:206.251.255.64/31 ~all,softfail,None,
