Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
amazonaws.com,quarantine,mailto:aws-marketing-email-dmarc-rua-reports@dmarc.amazonaws.com,mailto:aws-marketing-email-dmarc-ruf-reports@dmarc.amazonaws.com,5,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; pct=100; rua=mailto:aws-marketing-email-dmarc-rua-reports@dmarc.amazonaws.com; ruf=mailto:aws-marketing-email-dmarc-ruf-reports@dmarc.amazonaws.com,v=spf1 include:amazon.com ~all,softfail,None,
dzen.ru,quarantine,mailto:mailauth-reports@dzen.ru,None,1,51.77.245.91,False,False,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:mailauth-reports@dzen.ru,v=spf1 redirect=_spf.mail.ru,softfail,None,
apple.com,quarantine,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,2,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=reject; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,v=spf1 include:_spf.apple.com include:_spf-txn.apple.com ~all,softfail,None,
wikipedia.org,quarantine,mailto:dmarc-rua@wikimedia.org,mailto:dmarc-ruf@wikimedia.org,1,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarc-rua@wikimedia.org; ruf=mailto:dmarc-ruf@wikimedia.org;,v=spf1 include:_cidrs.wikimedia.org ~all,softfail,None,
digicert.com,quarantine,"mailto:dmarc_agg@vali.email,mailto:dmarc@digicert.com",None,2,51.77.245.91,True,False,"v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email,mailto:dmarc@digicert.com",v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email include:mktomail.com ~all,softfail,None,
icloud.com,quarantine,mailto:d@rua.agari.com,mailto:d@ruf.agari.com,0,51.77.245.91,False,False,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com,v=spf1 ip4:17.41.0.0/16 ip4:17.58.0.0/16 ip4:17.142.0.0/15 ip4:17.57.155.0/24 ip4:17.57.156.0/24 ip4:144.178.36.0/24 ip4:144.178.38.0/24 ip4:112.19.199.64/29 ip4:112.19.242.64/29 ip4:222.73.195.64/29 ip4:157.255.1.64/29 ip4:106.39.212.64/29 ip4:123.126.78.64/29 ip4:183.240.219.64/29 ip4:39.156.163.64/29 ip4:57.103.64.0/18 ip6:2a01:b747:3000:200::/56 ip6:2a01:b747:3001:200::/56 ip6:2a01:b747:3002:200::/56 ip6:2a01:b747:3003:200::/56 ip6:2a01:b747:3004:200::/56 ip6:2a01:b747:3005:200::/56 ip6:2a01:b747:3006:200::/56 ~all,softfail,None,
ntp.org,quarantine,mailto:xpvutgi3@ag.dmarcian.com,mailto:xpvutgi3@fr.dmarcian.com,2,51.77.245.91,False,False,v=DMARC1; p=quarantine; rua=mailto:xpvutgi3@ag.dmarcian.com; ruf=mailto:xpvutgi3@fr.dmarcian.com; sp=quarantine; pct=100,v=spf1 a mx ip4:204.93.207.0/27 ip4:66.220.13.234 ip6:2001:470:1:205::234 ~all,softfail,None,
unity3d.com,quarantine,"mailto:dmarc_agg@vali.email,mailto:dmarc@unity3d.com",None,2,51.77.245.91,True,False,"v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email,mailto:dmarc@unity3d.com",v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email include:mail.zendesk.com ~all,softfail,None,
telekom.de,quarantine,mailto:dmarc@telekom.de,mailto:dmarc@telekom.de,8,51.77.245.91,True,False,v=DMARC1;p=quarantine;rua=mailto:dmarc@telekom.de;ruf=mailto:dmarc@telekom.de;,v=spf1 include:_spfa.telekom.com ~all,softfail,None,
epicgames.com,quarantine,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,1,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1; pct=100; rf=afrf,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,softfail,%{ir}.%{v}.%{d}.spf.has.pphosted.com,
doubleverify.com,quarantine,"mailto:mailmonitor@doubleverify.com,mailto:dmarc_agg@vali.email",mailto:mailmonitor@doubleverify.com,1,51.77.245.91,True,False,"v=DMARC1;p=quarantine;pct=100;rua=mailto:mailmonitor@doubleverify.com,mailto:dmarc_agg@vali.email;ruf=mailto:mailmonitor@doubleverify.com;fo=1",v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,softfail,None,
vungle.com,quarantine,mailto:vungle.it@vungle.com,mailto:post.master@vungle.com,9,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=5; rua=mailto:vungle.it@vungle.com; ruf=mailto:post.master@vungle.com; sp=none; fo=d; ri=86400,v=spf1 include:_spf.google.com include:sendgrid.net include:6410061.spf02.hubspotemail.net include:mail.zendesk.com include:mg-spf.greenhouse.io include:spf.tipalti.com ~all,softfail,None,
sciencedirect.com,quarantine,"mailto:reed-elsevier@rua.agari.com,mailto:dmarc-a@lexisnexis.com",mailto:reed-elsevier@ruf.agari.com,2,51.77.245.91,True,False,"v=DMARC1; p=quarantine; fo=1; rua=mailto:reed-elsevier@rua.agari.com,mailto:dmarc-a@lexisnexis.com; ruf=mailto:reed-elsevier@ruf.agari.com",v=spf1 ip4:80.64.57.21/30 a:rsevps20.ritense.com include:spf.protection.outlook.com ~all,softfail,None,
netangels.ru,quarantine,mailto:report2@netangels.ru,None,6,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; rua=mailto:report2@netangels.ru,v=spf1 ip4:91.201.52.0/24 include:_netblock54.netangels.ru include:_netblockhr.netangels.ru include:_netblock-ipv6.netangels.ru ~all,softfail,None,
doi.org,quarantine,mailto:4346ea155d494c77bb5cb3dfcf540754@dmarc-reports.cloudflare.net,None,6,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:4346ea155d494c77bb5cb3dfcf540754@dmarc-reports.cloudflare.net; sp=quarantine;aspf=r;adkim=r;ri=86400,v=spf1 include:zohomail.eu include:cnri.net include:amazonses.com ~all,softfail,None,
drom.ru,quarantine,mailto:dmarc@drom.ru,None,2,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarc@drom.ru,v=spf1 mx ip4:185.44.0.0/24 ip4:185.44.1.0/24 ip4:93.191.15.0/26 ip4:62.140.250.176/29 ip4:80.92.160.0/20 ip4:195.88.225.128/26 ip4:62.213.123.64/26 ip4:91.231.136.128/25 ip4:195.88.224.64/26 include:spf.unisender.com ~all,softfail,None,
appsflyer.com,quarantine,mailto:afit@appsflyer.com,mailto:afit@appsflyer.com,10,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; rua=mailto:afit@appsflyer.com; ruf=mailto:afit@appsflyer.com,v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 ip4:223.165.113.0/24 ip4:223.165.115.0/24 include:spf.appsflyer.com ~all,softfail,None,
moe.video,quarantine,mailto:admin@moe.video,None,1,51.77.245.91,False,False,v=DMARC1; p=quarantine; rua=mailto:admin@moe.video,v=spf1 ip4:92.223.88.24 ip4:95.213.181.107 mx ~all,softfail,None,
harvard.edu,quarantine,mailto:dmarc_agg@vali.email,None,1,51.77.245.91,True,False,v=DMARC1; p=quarantine; sp=none; pct=100; adkim=r; aspf=r; rua=mailto:dmarc_agg@vali.email,v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,softfail,None,
avast.com,quarantine,mailto:dmarc_agg@vali.email,mailto:dmarcruf@avast.com,1,51.77.245.91,False,False,v=DMARC1; p=quarantine; sp=none; rua=mailto:dmarc_agg@vali.email; ruf=mailto:dmarcruf@avast.com; adkim=r; aspf=r; ri=86400; fo=1; pct=100,v=spf1 redirect=spfc.avast.com,softfail,None,
dailymotion.com,quarantine,mailto:dmarc-report@dailymotion.com,None,5,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarc-report@dailymotion.com; ri=43200,v=spf1 include:spf.protection.outlook.com include:_spf.salesforce.com include:spfa.dailymotion.com include:spfb.dailymotion.com ~all,softfail,None,
ea.com,quarantine,"mailto:dmarc_agg@vali.email,mailto:it-messaging-dmarc-alerts@ea.com",mailto:it-messaging-dmarc-alerts@ea.com,2,51.77.245.91,True,False,"v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc_agg@vali.email,mailto:it-messaging-dmarc-alerts@ea.com; ruf=mailto:it-messaging-dmarc-alerts@ea.com; fo=1",v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email include:spf.protection.outlook.com ~all,softfail,None,
sharethrough.com,quarantine,mailto:dmarc.report@sharethrough.com,None,8,51.77.245.91,True,False,v=DMARC1; p=quarantine; rua=mailto:dmarc.report@sharethrough.com,v=spf1 a include:_spf.google.com include:spf.mandrillapp.com include:stspg-customer.com include:_spf.salesforce.com ~all,softfail,None,
wiley.com,quarantine,"mailto:dmarc_agg@vali.email,mailto:rua@wiley.com",mailto:ruf@wiley.com,1,51.77.245.91,True,False,"v=DMARC1; p=quarantine; sp=quarantine; pct=100; adkim=r; aspf=r; rua=mailto:dmarc_agg@vali.email,mailto:rua@wiley.com; ruf=mailto:ruf@wiley.com; fo=1",v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,softfail,None,
forter.com,quarantine,mailto:dmarcreports@forter.com,None,10,51.77.245.91,True,False,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarcreports@forter.com;sp=quarantine,v=spf1 include:95bc97.workshop-spf.net include:_netblocks.google.com include:_netblocks2.google.com include:_netblocks3.google.com include:spf.mailjet.com include:2776164.spf01.hubspotemail.net include:_spf.atlassian.net include:_spf.salesforce.com ~all,softfail,None,
wsj.com,quarantine,mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_ruf@emaildefense.proofpoint.com,1,51.77.245.91,True,False,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,softfail,%{ir}.%{v}.%{d}.spf.has.pphosted.com,
