Domain_to_be_spoofed,dmarc_policy,dmarc_rua,dmarc_ruf,dns_lookup_count,from_ip,has_include,has_ptr,its_dmarc_record,its_spf_record,spf_check_result_flag,unregistered_domain_in_include,what_happened
edgecastdns.net,,None,None,0,51.77.245.91,False,False,,,temperror,None,
starfall.com,none,mailto:service-alerts@starfall.com,mailto:service-alerts@starfall.com,0,51.77.245.91,False,False,v=DMARC1; p=none; rua=mailto:service-alerts@starfall.com; ruf=mailto:service-alerts@starfall.com; sp=none; adkim=r; aspf=r; fo=0:1:s;,,temperror,None,
patria.org.ve,,None,None,0,51.77.245.91,False,False,,,temperror,None,
yasyadong.cc,,None,None,0,51.77.245.91,False,False,,,temperror,None,
anime-sama.fr,,None,None,0,51.77.245.91,False,False,,,temperror,None,
nkryu17dc.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
videq.one,,None,None,0,51.77.245.91,False,False,,,temperror,None,
videqview.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
cmu.edu,none,mailto:report-dmarc@andrew.cmu.edu,None,0,51.77.245.91,False,False,v=DMARC1;p=none;sp=none;rua=mailto:report-dmarc@andrew.cmu.edu,,temperror,None,
iheart.com,none,None,None,11,51.77.245.91,True,False,v=DMARC1; p=none;,v=spf1 ip4:207.230.136.140/29 ip4:207.230.157.126/29 mx a a:out-smtp.criticalmassmedia.com a:out-smtp.lob-hosting.com include:sendgrid.net include:_spf.google.com include:spf.mandrillapp.com include:mail.zendesk.com ~all,temperror,None,
al-array.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
miitbeian.gov.cn,,None,None,0,51.77.245.91,False,False,,,temperror,None,
schneier.com,none,None,mailto:dmarc24@schneier.com,3,51.77.245.91,True,False,v=DMARC1; p=none; ruf=mailto:dmarc24@schneier.com;fo=0,v=spf1 a include:emailsrvr.com include:servers.mcsv.net ip4:204.11.247.92 ip4:204.11.247.93 ?include:netblocks.dreamhost.com ?include:spf.modwest.com ~all,temperror,None,
miibeian.gov.cn,,None,None,0,51.77.245.91,False,False,,,temperror,None,
dtvce.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
golux.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,mobalytics.gg
firstbyte.club,,None,None,0,51.77.245.91,False,False,,,temperror,None,
stikroltiltoowi.net,,None,None,0,51.77.245.91,False,False,,,temperror,None,
acgnxtracker.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
audienceexposure.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
sparkchain.ai,,None,None,0,51.77.245.91,False,False,,,temperror,None,
vivastreet.co.uk,none,None,None,5,51.77.245.91,True,False,v=DMARC1; p=none,v=spf1 ip4:216.150.132.240 ip4:70.42.79.0/24 include:_spf.google.com include:mail.mplaurora.co.uk include:trustpilotservice.com ~all,temperror,mail.mplaurora.co.uk,
dmac-solutions.net,,None,None,0,51.77.245.91,False,False,,,temperror,None,
alldesiporn.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
govdnr.ru,,None,None,0,51.77.245.91,False,False,,,temperror,None,
bappamtv.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
vivalocal.com,none,mailto:dmarc@dvcorporate.com,None,4,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:dmarc@dvcorporate.com,v=spf1 ip4:216.150.132.240 ip4:70.42.79.0/24 include:_spf.google.com include:mail.mplaurora.co.uk ~all,temperror,mail.mplaurora.co.uk,
videq.fit,,None,None,0,51.77.245.91,False,False,,,temperror,None,
upsssc.gov.in,,None,None,0,51.77.245.91,False,False,,,temperror,None,
vocal.media,none,mailto:postmaster@vocal.media,mailto:postmaster@vocal.media,10,51.77.245.91,True,False,v=DMARC1; p=none; rua=mailto:postmaster@vocal.media; ruf=mailto:postmaster@vocal.media; fo=1,v=spf1 include:mailgun.org include:_spf.google.com include:datadrivenemail.com include:servers.mcsv.net ~all,temperror,datadrivenemail.com,
vavadavv3.com,,None,None,0,51.77.245.91,False,False,,,temperror,None,
